INCNUMBER,OFFENSECODE,Beat #,Service Area,MICRCODE,Offense Description,NIBRS Maping,NIBRS Category,NIBRS GRP,OFFENSETITLE,DATEOFOFFENSE,Day of week,Weapon Type,INCIDENT LOCATION BLOCK ADDRESS,Month
22-071295,1313,W3,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/17/2022 02:00:00 PM,Saturday,Personal Weapons,900 BLOCK NAGOLD ST NW,December
22-071305,1313,E8,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/17/2022 02:52:15 PM,Saturday,Personal Weapons,100 BLOCK QUIGLEY BL SW,December
22-071312,1304,S1,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM - GUN,12/17/2022 03:15:00 PM,Saturday,Handgun,WEALTHY ST SE & DIAMOND AV SE,December
22-071321,1313,E1,East,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/16/2022 03:30:00 PM,Friday,Unknown,300 BLOCK BURTON ST SE,December
22-071329,1305,N3,North,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM OTHER WEAPON,12/17/2022 05:09:02 PM,Saturday,Knife/Cutting Instrument,500 BLOCK LAFAYETTE AV NE,December
22-071389,1305,N3,North,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM OTHER WEAPON,12/17/2022 11:49:43 PM,Saturday,Blunt Object,600 BLOCK LIVINGSTON AV NE,December
22-071436,1304,W4,West,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM - GUN,12/18/2022 05:15:17 AM,Sunday,Handgun,600 BLOCK 6TH ST NW,December
22-071509,1396,S6,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,ASSAULT LESS THAN MURDER - GBH,12/18/2022 04:17:50 PM,Sunday,Handgun,KALAMAZOO AV SE & ADAMS ST SE,December
22-071516,1305,N1,North,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM OTHER WEAPON,12/18/2022 05:59:14 PM,Sunday,Poison,2400 BLOCK KNAPP ST NE,December
22-071552,1313,C3,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/18/2022 09:06:58 PM,Sunday,Other,0 BLOCK WILLIAMS ST SW,December
22-071566,1313,C3,Central,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/18/2022 10:10:35 PM,Sunday,Personal Weapons,100 BLOCK SHELDON AV SE,December
22-071589,1306,S3,South,13002,Aggravated Assault,Aggravated Assault,Crimes Against Person,Assault Offenses,AGGRAVATED ASSAULT NON-FAM STRONG ARM,12/19/2022 12:05:31 AM,Monday,Personal Weapons,800 BLOCK CASS AV SE,December
22-071606,1313,W3,West,13001,Non-Aggravated Assault,Simple Assault,Crimes Against Person,Assault Offenses,A and B / SIMPLE ASSAULT,12/19/2022 01:50:04 AM,Monday,Personal Weapons,800 BLOCK 3RD ST NW,December
